batch_size,num_epochs,learning_rate,mask_ratio,padding,positional_encodings,embedding_dim,number_heads,layers,val_loss,val_corr
6,2,0.0001,0.25,zero,add,256,4,4,1.31172787433579,0.313468075993042
6,2,0.0001,0.25,zero,add,256,4,6,1.36398781055496,0.30761544666593
6,2,0.0001,0.25,zero,add,256,8,4,1.35955166249048,0.307708112079473
6,2,0.0001,0.25,zero,add,256,8,6,1.2966300816763,0.313943923170131
6,2,0.0001,0.25,zero,add,512,4,4,1.33048879532587,0.308912525633498
6,2,0.0001,0.25,zero,add,512,4,6,1.26261494698979,0.319631170244917
6,2,0.0001,0.25,zero,add,512,8,4,1.26963347338495,0.317101757322985
6,2,0.0001,0.25,zero,add,512,8,6,1.30662192333312,0.314489621373396
6,2,0.0001,0.5,zero,add,256,4,4,1.35293331600371,0.291470578502095
6,2,0.0001,0.5,zero,add,256,4,6,1.36027962820871,0.290048566661657
6,2,0.0001,0.5,zero,add,256,8,4,1.335883051157,0.293379203135532
6,2,0.0001,0.5,zero,add,256,8,6,1.31985803870928,0.295495765076743
6,2,0.0001,0.5,zero,add,512,4,4,1.36368255388169,0.289952188434582
6,2,0.0001,0.5,zero,add,512,4,6,1.32891915951456,0.29408857533856
6,2,0.0001,0.5,zero,add,512,8,4,1.30797299175035,0.297177568078041
6,2,0.0001,0.5,zero,add,512,8,6,1.33234035117286,0.294399082365017
6,2,0.001,0.25,zero,add,256,4,4,1.31044512135642,0.311905802774524
6,2,0.001,0.25,zero,add,256,4,6,1.32670150484358,0.310664754006125
6,2,0.001,0.25,zero,add,256,8,4,1.38450949674561,0.302906697704678
6,2,0.001,0.25,zero,add,256,8,6,1.33595876608576,0.311009613530976
6,2,0.001,0.25,zero,add,512,4,4,1.3601293521268,0.307231372074475
6,2,0.001,0.25,zero,add,512,4,6,1.30071659031368,0.312545074534322
6,2,0.001,0.25,zero,add,512,8,4,1.34089353822526,0.308271775643031
6,2,0.001,0.25,zero,add,512,8,6,1.35388621829805,0.305115967811573
6,2,0.001,0.5,zero,add,256,4,4,1.31251546598616,0.295717174985579
6,2,0.001,0.5,zero,add,256,4,6,1.37181622641427,0.28805875583064
6,2,0.001,0.5,zero,add,256,8,4,1.30907743033909,0.297878925939874
6,2,0.001,0.5,zero,add,256,8,6,1.29721861226218,0.297450980201127
6,2,0.001,0.5,zero,add,512,4,4,1.35519251369295,0.289856683935911
6,2,0.001,0.5,zero,add,512,4,6,1.34688227801096,0.290899204474593
6,2,0.001,0.5,zero,add,512,8,4,1.27182364747638,0.301255381414815
6,2,0.001,0.5,zero,add,512,8,6,1.3427206050782,0.292379553828921
6,4,0.0001,0.25,zero,add,256,4,4,1.35537588028681,0.30831796362523
6,4,0.0001,0.25,zero,add,256,4,6,1.38442671157065,0.302483494792666
6,4,0.0001,0.25,zero,add,256,8,4,1.30911786783309,0.312594192309512
6,4,0.0001,0.25,zero,add,256,8,6,1.27328233633723,0.315062256796019
6,4,0.0001,0.25,zero,add,512,4,4,1.2959777812163,0.311575974441237
6,4,0.0001,0.25,zero,add,512,4,6,1.29962815982955,0.311548038489289
6,4,0.0001,0.25,zero,add,512,8,4,1.24474792253403,0.317163633803526
6,4,0.0001,0.25,zero,add,512,8,6,1.30260128208569,0.313760864474471
6,4,0.0001,0.5,zero,add,256,4,4,1.36296752237138,0.289249483791609
6,4,0.0001,0.5,zero,add,256,4,6,1.36014084305082,0.289366158641993
6,4,0.0001,0.5,zero,add,256,8,4,1.35533994294348,0.291704270811308
6,4,0.0001,0.5,zero,add,256,8,6,1.39207612900507,0.28612186079697
6,4,0.0001,0.5,zero,add,512,4,4,1.28619309834072,0.298177891189144
6,4,0.0001,0.5,zero,add,512,4,6,1.33071480762391,0.293917793603171
6,4,0.0001,0.5,zero,add,512,8,4,1.33443293968836,0.292063461823596
6,4,0.0001,0.5,zero,add,512,8,6,1.31317505382356,0.295895993591301
6,4,0.001,0.25,zero,add,256,4,4,1.31630478444554,0.310534843081047
6,4,0.001,0.25,zero,add,256,4,6,1.34013014889899,0.308171722091853
6,4,0.001,0.25,zero,add,256,8,4,1.29022732377052,0.315117091354397
6,4,0.001,0.25,zero,add,256,8,6,1.2448237155165,0.318784628713888
6,4,0.001,0.25,zero,add,512,4,4,1.29948870482899,0.310605666289727
6,4,0.001,0.25,zero,add,512,4,6,1.31875851750374,0.310346808107126
6,4,0.001,0.25,zero,add,512,8,4,1.30160112182299,0.31321693773544
6,4,0.001,0.25,zero,add,512,8,6,1.35013321467808,0.308232863093652
6,4,0.001,0.5,zero,add,256,4,4,1.32769069927079,0.293344466104394
6,4,0.001,0.5,zero,add,256,4,6,1.29874003643081,0.297804758248348
6,4,0.001,0.5,zero,add,256,8,4,1.29280101401465,0.299416187204539
6,4,0.001,0.5,zero,add,256,8,6,1.34714013196173,0.292044076299857
6,4,0.001,0.5,zero,add,512,4,4,1.37909332627342,0.288394233123178
6,4,0.001,0.5,zero,add,512,4,6,1.26869446323031,0.301983043196655
6,4,0.001,0.5,zero,add,512,8,4,1.32727743330456,0.294599781552004
6,4,0.001,0.5,zero,add,512,8,6,1.34200496758733,0.292082663566347
